🇮🇹|5913688444923547525
🇯🇲|5913232280742006526
🇯🇴|5913234136167878475
🇮🇸|5911047899029967246
🇭🇺|5913767635530551104
🇭🇳|5911406889576436289
🇭🇹|5913459789454643194
🇬🇾|5913579412883771480
🇬🇼|5911398694778836149
🇬🇳|5913471858312744319
🇬🇹|5913324858762072330
🇬🇩|5913228063084121946
🇬🇷|5911210399117611448
🇬🇭|5913391155877252952
🇬🇪|5913434771270144023
🇬🇲|5913657267755945883
🇬🇦|5911037896051137264
🇫🇷|5913605586414473124
🇫🇮|5911041344909873378
🇫🇯|5911393832875856716
🇪🇹|5911078333168227043
🇩🇴|5911152099231536123
🇹🇱|5911141915864076479
🇪🇨|5911273865849347408
🇪🇬|5913694831539916769
🇸🇻|5913238624408703010
🏴󠁧󠁢󠁥󠁮󠁿|5913475719488344315
🇪🇪|5910986042910969906
🇩🇲|5911377121158107430
🇩🇯|5911407709915190157
🇩🇰|5911206009661034712
🇨🇾|5911023550860366409
🇭🇷|5913692684056269311
🇨🇷|5911261745451635030
🇨🇬|5911338788574990168
🇨🇩|5913770362834783827
🇰🇲|5911338582416560604
🇰🇭|5913699998385573485
🇨🇲|5911172109484167745
🇨🇦|5913623736946265914
🇨🇻|5913571501554012193
🇨🇫|5913443245240619222
🇹🇩|5913299849167507310
🇨🇿|5911198691036764307
🇨🇱|5911470957603592832
🇨🇴|5913773060074246009
🇧🇮|5913766441529642752
🇧🇼|5911513782722499475
🇧🇦|5913700002680541032
🇧🇴|5913638795101606133
🇧🇹|5913236734623093021
🇧🇯|5913735869952430547
🇦🇷|5913573356979884082
🇦🇺|5913632326880858455
🇦🇹|5911338831524664592
🇧🇸|5911451643135660214
🇧🇭|5913581663446634403
🇧🇩|5911365056594973179
🇧🇧|5911016996740272263
🇧🇪|5913529642802745141
🇧🇿|5913355005137522807
🇦🇬|5913389025573475085
🇦🇴|5913753316109586411
🇦🇩|5911314702398396902
🇩🇿|5913782968563800236
🇦🇱|5911357458797826163
🇦🇫|5913492040364068694
🇿🇼|5911092502265336396
🇨🇺|5431551436502611633
🇰🇵|5434142701941437163
🇻🇪|5434009132753499322
🇸🇾|5433910876786670092
🇲🇲|5433666360003540231
🇳🇮|5334807849418003620
🇰🇷|5913371673905598425
🇬🇶|5911306279967529251
🇬🇱|5292014752283774878
🇫🇴|5296469342039327674
🇨🇮|5222233374948602940
🇧🇳|5911336409163109113
🇧🇬|5294329219965272288
🇧🇫|5913407764515786948
🇪🇷|5433723401464198287
🇲🇼|5433968339154122439
🇲🇷|5433859405898594234
🇳🇷|5434131139889478358
🇸🇦|4985897134424328239
🇹🇴|5433640100573491806
🇹🇻|5433684690923961019
🇹🇼|5366187256937726720
🇭🇰|5292166459118606932
🇲🇴|6323557758096377611
